Date,Holiday
2024-01-14,Makar Sankranti / Pongal
2024-01-26,Republic Day
2024-03-24,Palm Sunday
2024-03-25,Holi
2024-03-29,Good Friday
2024-03-31,Easter Sunday
2024-04-10,Eid ul-Fitr (estimated)
2024-04-11,Eid ul-Fitr (estimated)
2024-05-01,Labour Day
2024-05-19,Feast of Pentecost
2024-06-16,Eid al-Adha (estimated)
2024-06-17,Eid al-Adha (estimated)
2024-07-16,Day of Ashura (estimated)
2024-08-15,Independence Day
2024-09-15,Mawlid (estimated)
2024-10-02,Gandhi Jayanti
2024-11-01,Diwali
2024-12-25,Christmas Day
